Metrik,LAPANGAN USAHA,Tahun,Triwulan,Nilai,Quarter_Order,Time_Label
C-to-C (%),Sektor Primer,2024,I,0.0393973945903383,1,2024QI
C-to-C (%),Sektor Primer,2024,II,0.4296284800175982,2,2024QII
C-to-C (%),Sektor Primer,2024,III,0.7946488700507643,3,2024QIII
C-to-C (%),Sektor Primer,2024,IV,1.2144609542170033,4,2024QIV
C-to-C (%),Sektor Primer,2025,I,0.3809648141713637,1,2025QI
C-to-C (%),Sektor Primer,2025,II,0.155614523156762,2,2025QII
C-to-C (%),Sektor Primer,2025,III,-0.1977926165551746,3,2025QIII
C-to-C (%),Sektor Sekunder,2022,I,3.827960091764453,1,2022QI
C-to-C (%),Sektor Sekunder,2022,II,3.8856086840105775,2,2022QII
C-to-C (%),Sektor Sekunder,2022,III,4.752328112002218,3,2022QIII
C-to-C (%),Sektor Sekunder,2022,IV,5.4600453088037,4,2022QIV
C-to-C (%),Sektor Sekunder,2023,I,5.779301614531818,1,2023QI
C-to-C (%),Sektor Sekunder,2023,II,6.043540695968416,2,2023QII
C-to-C (%),Sektor Sekunder,2023,III,5.257368953467449,3,2023QIII
C-to-C (%),Sektor Sekunder,2023,IV,4.88214267079168,4,2023QIV
C-to-C (%),Sektor Sekunder,2024,I,5.844519430178494,1,2024QI
C-to-C (%),Sektor Sekunder,2024,II,5.773007747345658,2,2024QII
C-to-C (%),Sektor Sekunder,2024,III,5.897595530262322,3,2024QIII
C-to-C (%),Sektor Sekunder,2024,IV,5.367841883260766,4,2024QIV
C-to-C (%),Sektor Sekunder,2025,I,4.502560544468977,1,2025QI
C-to-C (%),Sektor Sekunder,2025,II,5.483477413641619,2,2025QII
C-to-C (%),Sektor Sekunder,2025,III,5.904123358610075,3,2025QIII
C-to-C (%),Sektor Tersier,2022,I,10.609481917834486,1,2022QI
C-to-C (%),Sektor Tersier,2022,II,11.333388438684494,2,2022QII
C-to-C (%),Sektor Tersier,2022,III,12.821485356417782,3,2022QIII
C-to-C (%),Sektor Tersier,2022,IV,11.615493114355589,4,2022QIV
C-to-C (%),Sektor Tersier,2023,I,9.539198805053402,1,2023QI
C-to-C (%),Sektor Tersier,2023,II,9.645897435176607,2,2023QII
C-to-C (%),Sektor Tersier,2023,III,8.917843110124807,3,2023QIII
C-to-C (%),Sektor Tersier,2023,IV,8.556904281982185,4,2023QIV
C-to-C (%),Sektor Tersier,2024,I,6.948843692104333,1,2024QI
C-to-C (%),Sektor Tersier,2024,II,6.1637047821243405,2,2024QII
C-to-C (%),Sektor Tersier,2024,III,5.884308931798258,3,2024QIII
C-to-C (%),Sektor Tersier,2024,IV,6.021276811927791,4,2024QIV
C-to-C (%),Sektor Tersier,2025,I,6.018774183003117,1,2025QI
C-to-C (%),Sektor Tersier,2025,II,5.704325476235552,2,2025QII
C-to-C (%),Sektor Tersier,2025,III,5.076394136366714,3,2025QIII
Q-to-Q (%),Sektor Primer,2022,I,6.902549182068512,1,2022QI
Q-to-Q (%),Sektor Primer,2022,II,22.528481452559674,2,2022QII
Q-to-Q (%),Sektor Primer,2022,III,-3.6749141286520057,3,2022QIII
Q-to-Q (%),Sektor Primer,2022,IV,-16.551310477504558,4,2022QIV
Q-to-Q (%),Sektor Primer,2023,I,2.62928547556156,1,2023QI
Q-to-Q (%),Sektor Primer,2023,II,24.125569599405267,2,2023QII
Q-to-Q (%),Sektor Primer,2023,III,0.4720123150229369,3,2023QIII
Q-to-Q (%),Sektor Primer,2023,IV,-27.03772006384341,4,2023QIV
Q-to-Q (%),Sektor Primer,2024,I,9.94267904128543,1,2024QI
Q-to-Q (%),Sektor Primer,2024,II,24.99983280544804,2,2024QII
Q-to-Q (%),Sektor Primer,2024,III,1.176738216729461,3,2024QIII
Q-to-Q (%),Sektor Primer,2024,IV,-26.05009464226859,4,2024QIV
Q-to-Q (%),Sektor Primer,2025,I,7.330619646772461,1,2025QI
Q-to-Q (%),Sektor Primer,2025,II,24.4947193320439,2,2025QII
Q-to-Q (%),Sektor Primer,2025,III,0.365240910155231,3,2025QIII
Q-to-Q (%),Sektor Sekunder,2022,I,1.5727482641907358,1,2022QI
Q-to-Q (%),Sektor Sekunder,2022,II,-0.289874348915518,2,2022QII
Q-to-Q (%),Sektor Sekunder,2022,III,4.361733147039942,3,2022QIII
Q-to-Q (%),Sektor Sekunder,2022,IV,1.74918392677543,4,2022QIV
Q-to-Q (%),Sektor Sekunder,2023,I,-0.0945421898539393,1,2023QI
Q-to-Q (%),Sektor Sekunder,2023,II,0.2090060497085204,2,2023QII
Q-to-Q (%),Sektor Sekunder,2023,III,1.8486166507944544,3,2023QIII
Q-to-Q (%),Sektor Sekunder,2023,IV,1.8051474144385795,4,2023QIV
Q-to-Q (%),Sektor Sekunder,2024,I,1.8677583047445976,1,2024QI
Q-to-Q (%),Sektor Sekunder,2024,II,0.0737389332060729,2,2024QII
Q-to-Q (%),Sektor Sekunder,2024,III,2.2729131656589345,3,2024QIII
Q-to-Q (%),Sektor Sekunder,2024,IV,-0.4155300440537388,4,2024QIV
Q-to-Q (%),Sektor Sekunder,2025,I,2.530851194091227,1,2025QI
Q-to-Q (%),Sektor Sekunder,2025,II,1.9517379465844584,2,2025QII
Q-to-Q (%),Sektor Sekunder,2025,III,2.5253145266143813,3,2025QIII
Q-to-Q (%),Sektor Tersier,2022,I,-0.5173552220232124,1,2022QI
Q-to-Q (%),Sektor Tersier,2022,II,3.9569298007537697,2,2022QII
Q-to-Q (%),Sektor Tersier,2022,III,2.6291436074557453,3,2022QIII
Q-to-Q (%),Sektor Tersier,2022,IV,2.0481864269541035,4,2022QIV
Q-to-Q (%),Sektor Tersier,2023,I,0.6097614682471572,1,2023QI
Q-to-Q (%),Sektor Tersier,2023,II,4.155597722842572,2,2023QII
Q-to-Q (%),Sektor Tersier,2023,III,0.5508212434481407,3,2023QIII
Q-to-Q (%),Sektor Tersier,2023,IV,2.049155788352877,4,2023QIV
Q-to-Q (%),Sektor Tersier,2024,I,0.0687418550098897,1,2024QI
Q-to-Q (%),Sektor Tersier,2024,II,2.6568390833954254,2,2024QII
Q-to-Q (%),Sektor Tersier,2024,III,0.4838317299292356,3,2024QIII
Q-to-Q (%),Sektor Tersier,2024,IV,3.0929674807151457,4,2024QIV
Q-to-Q (%),Sektor Tersier,2025,I,-0.3058528594976053,1,2025QI
Q-to-Q (%),Sektor Tersier,2025,II,2.055764590142161,2,2025QII
Q-to-Q (%),Sektor Tersier,2025,III,-0.998917486974703,3,2025QIII
Y-on-Y (%),Sektor Primer,2022,I,-3.499406383146137,1,2022QI
Y-on-Y (%),Sektor Primer,2022,II,10.134138602383231,2,2022QII
Y-on-Y (%),Sektor Primer,2022,III,-8.38854322184254,3,2022QIII
Y-on-Y (%),Sektor Primer,2022,IV,5.289251514196437,4,2022QIV
Y-on-Y (%),Sektor Primer,2023,I,1.0804768813800223,1,2023QI
Y-on-Y (%),Sektor Primer,2023,II,2.398002648376945,2,2023QII
Y-on-Y (%),Sektor Primer,2023,III,6.806376449664796,3,2023QIII
Y-on-Y (%),Sektor Primer,2023,IV,-6.615229285461297,4,2023QIV
Y-on-Y (%),Sektor Primer,2024,I,0.0393973945903383,1,2024QI
Y-on-Y (%),Sektor Primer,2024,II,0.744012604647736,2,2024QII
Y-on-Y (%),Sektor Primer,2024,III,1.450646357555314,3,2024QIII
Y-on-Y (%),Sektor Primer,2024,IV,2.8238934307771326,4,2024QIV
Y-on-Y (%),Sektor Primer,2025,I,0.3809648141713637,1,2025QI
Y-on-Y (%),Sektor Primer,2025,II,-0.0246659507902222,2,2025QII
Y-on-Y (%),Sektor Primer,2025,III,-0.8265272850724713,3,2025QIII
Y-on-Y (%),Sektor Sekunder,2022,I,3.827960091764453,1,2022QI
Y-on-Y (%),Sektor Sekunder,2022,II,3.9434892024766697,2,2022QII
Y-on-Y (%),Sektor Sekunder,2022,III,6.456904687394214,3,2022QIII
Y-on-Y (%),Sektor Sekunder,2022,IV,7.544618782214243,4,2022QIV
Y-on-Y (%),Sektor Sekunder,2023,I,5.779301614531818,1,2023QI
Y-on-Y (%),Sektor Sekunder,2023,II,6.308547965502172,2,2023QII
Y-on-Y (%),Sektor Sekunder,2023,III,3.74855056484968,3,2023QIII
Y-on-Y (%),Sektor Sekunder,2023,IV,3.805613732391009,4,2023QIV
Y-on-Y (%),Sektor Sekunder,2024,I,5.844519430178494,1,2024QI
Y-on-Y (%),Sektor Sekunder,2024,II,5.701645216519452,2,2024QII
Y-on-Y (%),Sektor Sekunder,2024,III,6.141993265964089,3,2024QIII
Y-on-Y (%),Sektor Sekunder,2024,IV,3.826716113173092,4,2024QIV
Y-on-Y (%),Sektor Sekunder,2025,I,4.502560544468977,1,2025QI
Y-on-Y (%),Sektor Sekunder,2025,II,6.4636714981529915,2,2025QII
Y-on-Y (%),Sektor Sekunder,2025,III,6.7264153151294455,3,2025QIII
Y-on-Y (%),Sektor Tersier,2022,I,10.609481917834486,1,2022QI
Y-on-Y (%),Sektor Tersier,2022,II,12.038738806517884,2,2022QII
Y-on-Y (%),Sektor Tersier,2022,III,15.779859683867244,3,2022QIII
Y-on-Y (%),Sektor Tersier,2022,IV,8.312046912331866,4,2022QIV
Y-on-Y (%),Sektor Tersier,2023,I,9.539198805053402,1,2023QI
Y-on-Y (%),Sektor Tersier,2023,II,9.748534777706524,2,2023QII
Y-on-Y (%),Sektor Tersier,2023,III,7.526039039868152,3,2023QIII
Y-on-Y (%),Sektor Tersier,2023,IV,7.527060435693586,4,2023QIV
Y-on-Y (%),Sektor Tersier,2024,I,6.948843692104333,1,2024QI
Y-on-Y (%),Sektor Tersier,2024,II,5.409891326923173,2,2024QII
Y-on-Y (%),Sektor Tersier,2024,III,5.339664577377532,3,2024QIII
Y-on-Y (%),Sektor Tersier,2024,IV,6.417133300229394,4,2024QIV
Y-on-Y (%),Sektor Tersier,2025,I,6.018774183003117,1,2025QI
Y-on-Y (%),Sektor Tersier,2025,II,5.398014947316824,2,2025QII
Y-on-Y (%),Sektor Tersier,2025,III,3.8427515637866976,3,2025QIII
